slug,measure_def,confidence,value_status,evidence,url,source
nanchang,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 438,953,600 / 进站量 262,470,600. matches 客运量 exactly (ratio 1.0001)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
nanjing,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,093,521,000 / 进站量 651,312,600. matches 客运量 to 0.2% (atlas year 2024 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
nanning,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 365,237,100 / 进站量 216,099,900. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
ningbo,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 388,076,200 / 进站量 221,477,600. matches 客运量 exactly (ratio 0.9998)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
qingdao,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 530,556,100 / 进站量 367,851,900. matches 客运量 to 0.6% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
shanghai,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 3,773,795,900 / 进站量 2,098,778,300. matches 客运量 to 2.0% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
shenyang,,low,unverified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 658,105,200 / 进站量 420,738,500. matches neither column (客运量 x0.77, 进站量 x1.21); atlas vintage 2023 predates this report",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
shenzhen,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 3,101,874,300 / 进站量 1,750,336,100. matches 客运量 to 5.9% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
shijiazhuang,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 198,233,800 / 进站量 137,069,400. matches 客运量 to 4.7% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
suzhou,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 637,940,700 / 进站量 395,615,800. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
tianjin,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 641,395,200 / 进站量 398,767,600. matches 客运量 to 5.1% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
wuhan,unlinked_trips,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,467,039,600 / 进站量 926,645,100. matches 客运量 to 0.7% (atlas year 2024 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
wuxi,,low,unverified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 242,069,900 / 进站量 159,068,700. matches neither column (客运量 x0.34, 进站量 x0.51); atlas vintage 2016 predates this report",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
xiamen,,low,unverified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 266,949,500 / 进站量 205,248,500. matches neither column (客运量 x0.22, 进站量 x0.28); atlas vintage 2019 predates this report",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
xian,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,406,401,300 / 进站量 910,339,600. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
zhengzhou,unlinked_trips,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 697,272,500 / 进站量 421,066,700. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,camet
hyderabad,passenger_journeys,low,unverified,"L&T Metro Rail publishes monthly ridership at this URL and a reported Apr2024-Mar2025 sum reproduces the recorded 161,965,658. Not independently re-confirmed here, and the page states no counting convention; 'passenger_journeys' is inferred from operator AFC practice, not from a definition. Separately: the figure is FY2024-25 (Apr-Mar) while annual_year records 2025.",https://ltmetro.com/ridership/,research
kochi,passenger_journeys,low,unverified,"KMRL publishes monthly ridership here. Checked 2026-09-20: the table carried only Jan-Apr 2025 (sum 11,157,056), so the recorded 36,412,974 for calendar 2025 could NOT be confirmed. The page labels the column 'Ridership' and defines no convention; journeys and boardings coincide anyway on a single-line network.",https://kochimetro.org/ridership/,research
fukuoka,estimated,medium,unverified,"Fukuoka City Subway publishes 輸送人員 as a daily average. The recorded 191,340,665 reproduces as FY2024 daily average 524,221 x 365, i.e. it is derived from a daily figure rather than a reported annual total. FY2024 = Apr 2024-Mar 2025, while annual_year records 2024.",https://subway.city.fukuoka.lg.jp/subway/management/transport.php,research
daegu,estimated,low,unverified,"Korean 수송인원 is defined 승차기준 (boarding basis), 유입인원 excluded, so the convention is boardings-like; but the per-operator table is JavaScript-loaded and the recorded 141,985,000 was not confirmed against it. Left as 'estimated' because the value is a derivation from a daily average.",https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1259,research
nagpur,,low,disputed,"Recorded 31,600,000 matches no located source. Maha Metro's 2024-25 annual report gives approximately 26.9 million; a widely-copied 40.15M is itself extrapolated from a 110,000/day figure. Convention undetermined.",,research
incheon,,low,disputed,"Official ICTR series (data.go.kr dataset 15051190) gives 2025 수송인원 232,640,801 / 승차인원 154,876,634 / 유입인원 77,764,167. No year-and-column combination in the 1999-2025 file equals the recorded 170,486,755.",https://www.data.go.kr/data/15051190/fileData.do,research
taoyuan,,low,disputed,"Recorded 46,000,000 is a rounding: Taoyuan Metro's monthly 旅運量 for 2025 sum to roughly 46.6 million. The 旅運量 convention itself is not established.",https://www.tymetro.com.tw/tymetro-new/tw/_pages/about/statistics.html,research
doha,,low,disputed,"No published annual figure located. Qatar Rail reports only cumulative lifetime totals and an approximate 300,000/day rate. The commonly-cited 53.0M (2023) carries no citation.",,research
dhaka,,low,disputed,"No published annual figure located. DMTCL publishes daily and per-station data only. A commonly-cited 100.38M (2024) traces to a news report, not the operator.",,research
