source_id,system_id,publisher,url,access,granularity,metric,measure_def,coverage_start,coverage_end,tier,retrieved,notes
delhi-ts,delhi,"Ministry of Housing and Urban Affairs (data supplied by DMRC), via Open Government Data (OGD) Platform India",https://www.data.gov.in/resource/year-wise-details-quarterly-ridership-delhi-metro-network-received-delhi-metro-rail,webpage,annual,ridership,unlinked_trips,2010,2018,official,2026-08-26,"Title/URL confirmed via search index as 'Year-wise details of Quarterly Ridership of Delhi Metro Network ... from 2010 to 2018' - true cadence is quarterly (rounded to 'annual' since the schema enum has no quarterly option), but this session's direct fetch of the page was blocked by robots.txt so exact schema/downloadable format could not be independently confirmed. A second, content-confirmed data.gov.in resource exists at https://www.data.gov.in/resource/year-wise-current-actual-ridership-delhi-metro-provided-dmrc-delhi-metro-rail-corporation : 'Average Per Day Passenger Journey (only DMRC Lines) (in Lakhs)' by Indian fiscal year (FY2019-20 to FY2021-22 plus June 2022), sourced from a Rajya Sabha (Parliament) Unstarred Question answer, explicitly adjusting for COVID-19 suspended-service days (e.g. FY2020-21 based on only 206 of 366 operating days). DMRC's own Annual Report 2024-25 (https://backend.delhimetrorail.com/documents/9862/Annual-Report-2024-2025-English.pdf) gives only single-year daily averages (FY24-25 6.31M/day vs FY23-24 5.83M/day; peak 8.19M on 8 Aug 2025), no multi-year table. A community CSV also exists at data.opencity.in ('Delhi Metro Ridership data 2013 to 2022', direct link https://data.opencity.in/dataset/7d89447e-578d-4948-a119-5bed7b157181/resource/933bf565-c03a-40f9-af10-e40903d3907b/download/delhi-metro-ridership-2013-2022.csv) but its granularity was not verified this session. DMRC changed its counting methodology in 2019 to count each transfer as a separate journey, inflating figures vs. standard linked-trip counts - hence measure_def=unlinked_trips throughout."
delhi-revenue,delhi,,https://backend.delhimetrorail.com/documents/9862/Annual-Report-2024-2025-English.pdf,webpage,,revenue,,,,,2026-08-26,revenue
chengdu-ts,chengdu,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"Same CAMET annual report series as other Chinese systems in this batch (see shanghai entry). 2024 figure independently corroborated at 22.12亿 (2.212bn), ranked 5th nationally, via news.qq.com's coverage of the CAMET 2024 report (https://news.qq.com/rain/a/20250409A09PGL00), giving confidence in the 2025 figure's +1.4% growth trajectory. No standing monthly official ridership series confirmed this session for Chengdu Rail Transit Group."
hong-kong-ts,hong-kong,MTR Corporation Limited,https://www.mtr.com.hk/en/corporate/investor/patronage.php,webpage,monthly,ridership,passenger_journeys,2000,2026,official,2026-08-26,"MTR's official 'Patronage Updates' page gives monthly patronage broken out by Domestic Service (heavy rail), Airport Express, Cross-boundary, Light Rail & Bus (combined), and High Speed Rail, selectable over a custom date range back to 2000, with an on-page 'Export' function (exact export file format not confirmed this session). Most recent point seen: June 2026 domestic-service patronage 128,248 thousand trips (~128.25M), daily average 4,563 thousand (~4.56M)/day. This is the finest-granularity, longest-span official source found. MTR's PR/annual-report PDFs give annual prose totals (e.g. PR020/26, 12 Mar 2026, 'total local patronage exceeded 1.9 billion' in 2025; High Speed Rail (HK section) 'exceeded 30 million ... +16% YoY') but were not machine-readable this session (returned as binary data or a maintenance page) beyond what an HTML mirror (irasia.com) showed."
hong-kong-punctuality,hong-kong,,https://www.minichart.com.sg/2026/03/12/mtr-corporation-2025-annual-results-financial-performance-property-development-and-railway-expansion-updates/,webpage,,punctuality,,,,,2026-08-26,punctuality
hong-kong-revenue,hong-kong,,http://www.irasia.com/listco/hk/mtr/annual/2025/respress.htm,webpage,,revenue,,,,,2026-08-26,revenue
paris-ts,paris,OMNIL (Observatoire de la Mobilité en Île-de-France) / Île-de-France Mobilités,https://omnil.fr/trafic-annuel-et-journalier,xlsx,annual,ridership,linked_journeys,,2025,official,2026-08-26,"OMNIL page offers a downloadable Excel ('l'ensemble des données du trafic annuel 2025', 2.6MB) giving 'Fréquentation annuelle par mode, sur l'ensemble du réseau' plus entry counts by individual metro station; site states methodology counts entries from the public street into the network ('utilisations en provenance de la voie publique'), excluding line-to-line transfers within the metro (counted once at entry) - matches schema's linked_journeys definition. Earliest year available on this specific page was not confirmed this session. Companion per-station annual dataset also exists on data.iledefrance-mobilites.fr / data.ratp.fr ('trafic annuel entrant par station du réseau ferré'), confirmed as separate yearly resources for at least 2014, 2015, 2020 and 2021 (open_csv + API export, e.g. .../api/explore/v2.1/catalog/datasets/validation-sur-le-reseau-ferre-ratp-trafic-annuel-entrant-par-station-annee-2014/exports/csv), but the catalogue's full JS-rendered listing and PRIM (prim.iledefrance-mobilites.fr, blocked by robots.txt) could not be crawled to confirm the latest available station-level year. No daily or monthly official RATP/IDFM ridership series was located - annual is the finest confirmed cadence for headline metro ridership itself (IDFM does publish many other datasets at finer-than-annual grain, e.g. real-time disruptions, but not ridership counts)."
paris-punctuality,paris,,https://ratpgroup.com/fr/rapport-activite-et-developpement-durable-2024/performances/,webpage,,punctuality,,,,,2026-08-26,punctuality
hangzhou-ts,hangzhou,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"Same CAMET annual report series as other Chinese systems in this batch (see wuhan entry for PDF link/detail and the unit-parsing caution this record relies on). CAMET's 2024 table gives Hangzhou = 146,984.27万人次 = 14.698亿 (1,469,842,700), read as raw unconverted digits and cross-validated via the same method as the xian entry. Hangzhou Metro Group's own year-end press mostly reports single-day peak records (5.8158M trips on 31 Dec 2025 per thepaper.cn, 5.4832M on 31 Dec 2024 per qq.com) rather than a structured series. A separate figure of '13.8亿人次' (news.qq.com, published 2024-09-24, in a 75th-anniversary-of-PRC retrospective) could not be confirmed as referring to a specific calendar year (possibly cumulative-since-2012-opening) and was deliberately not used. Hangzhou's own municipal statistics bulletin (hangzhou.gov.cn) could not be fetched this session (robots.txt block). No standalone monthly official series found."
cairo-ts,cairo,Wikipedia (secondary aggregation - no primary Egyptian source was directly accessible this session),https://en.wikipedia.org/wiki/Cairo_Metro,webpage,annual,ridership,estimated,,2023,community/aggregator,2026-08-26,"No official open dataset or structured ridership time series was located for the Cairo Metro. The infrastructure authority (NAT - National Authority for Tunnels, nat.gov.eg) and operator site (cairometro.gov.eg) were both unreachable via available tooling this session (SSL certificate-verification and proxy 403 errors on repeated attempts) rather than confirmed to lack data. Wikipedia's infobox states annual ridership of 1,460 million for 2023 and a current daily figure of '~5 million' (undated), but the underlying citation was not independently traced, hence measure_def=estimated. A separate Arabic-language news search surfaced an NAT-attributed claim of '~2 million riders daily' (almalnews.com headline; page body could not be fetched, proxy returned HTTP 403), which is not reconciled with the ~5M/day Wikipedia figure - possibly different years or scope (e.g. Line count). Egypt's national statistics agency CAPMAS may publish transport statistics but no specific metro-ridership product was located this session. Treat this whole system as low-confidence pending a directly-verifiable primary source."
wuhan-ts,wuhan,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"Industry-association annual '城市轨道交通XXXX年度统计和分析报告' series (same as used for other Chinese systems in this dataset). 2024 edition direct PDF (fetched and verified this session, Table 3 p.25, column header '客运量（万人次）'): https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf - gives Wuhan 2024 = 146,703.96万人次 = 14.6704亿 (1,467,039,600), within 0.7% of the Wuhan municipal government's own reported 14.57亿 (headline annual value used above; also corroborated by https://www.wuhan.gov.cn/whyw/bmdt/202501/t20250101_2511334.shtml and Wuhan's transport bureau jtj.wuhan.gov.cn, both stating '总客运量超14亿乘次'). CAUTION noted for this whole PDF: a first-pass automated extraction mis-read the same table by a factor of 10 (e.g. reported '14,670.40万人次' instead of the correct '146,703.96万人次') - only accepted after a second fetch requesting raw unconverted digits and cross-validating against Nanjing's independently-confirmed government figure. No standalone monthly official ridership series found for Wuhan Metro Group this session."
chongqing-ts,chongqing,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"Same CAMET annual report series as other Chinese systems in this batch (see wuhan entry for PDF link/detail and the unit-parsing caution). CAMET's 2024 table gives Chongqing = 141,649.40万人次 = 14.165亿 (1,416,494,000), ~2% below the Wikipedia infobox figure used above ('1.445 billion (2024)'). Independently cross-checked against Chongqing's own Municipal Statistics Bureau bulletin (fetched directly: https://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202503/t20250326_14443791.html), which states 2024 urban-rail daily-average ridership of 395.93万人次/day; 395.93万 x 365 = 1,445,144,500, matching the Wikipedia annual figure closely (this session's own arithmetic, not a stated annual total in the bulletin itself). No standalone monthly official series confirmed."
xian-ts,xian,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"IMPORTANT CAVEAT CHECKED THIS SESSION: Xi'an Metro's English Wikipedia infobox cites a 2021 figure of '237.1亿人次' (23.71 billion), sourced to a 2022-01-13 article titled '...2021年城市轨道交通运营成绩单'. This is almost certainly CHINA'S NATIONWIDE total across all cities for 2021, not Xi'an alone (23.71bn/yr for one mid-size system would exceed Shanghai+Beijing combined by ~3x) - this figure was deliberately NOT used anywhere in this record. Instead, the annual value above comes directly from CAMET's official 2024 city-by-city ranking table (Table 3 p.25 of the PDF also used for wuhan/nanjing/chongqing/hangzhou in this batch), read as raw unconverted digits on a second fetch specifically to avoid a unit-parsing error seen on the first pass (see wuhan entry) and cross-validated against Nanjing's/Wuhan's independently-confirmed government figures, which matched CAMET closely (within 0.2-0.7%). Xi'an's own municipal statistics bulletin (fetched: tjj.shaanxi.gov.cn PDF via a news mirror) reports only all-mode combined passenger transport (17,683.73万人次 for 2024, +16.4%), not metro-specific, so could not directly corroborate. No standalone monthly official series found; Xi'an Rail Transit Group's own press mostly reports single-day peak records (e.g. 6.238M on 31 Dec 2025, 6.00M+ on 6 Jan 2026 per news.qq.com)."
new-york-ts,new-york,"MTA / New York State Open Data (data.ny.gov, Socrata)",https://data.ny.gov/Transportation/MTA-Subway-Hourly-Ridership-Beginning-2025/5wq4-mkjj,open_csv,daily,ridership,unlinked_trips,2020,2026,official,2026-08-26,"Despite the 'Hourly' name this is actually finer than daily (per-station-complex, per-hour fare-payment counts); bucketed here as 'daily' since that is the schema's finest enum option - sum to calendar day for true daily subway ridership by station. This 'Beginning 2025' resource (5wq4-mkjj) continues the archived 'MTA Subway Hourly Ridership: 2020-2024' resource (wujg-7c2s); together they span 2020-03 to the present. A companion system-wide daily dataset, 'MTA Daily Ridership Data: 2020-2025' (https://data.ny.gov/Transportation/MTA-Daily-Ridership-Data-2020-2025/vxuj-8kew), gives one row per calendar day covering Subway + Bus + LIRR + Metro-North + Access-A-Ride + Bridges/Tunnels together with %-of-comparable-pre-pandemic-day, which may be more convenient for a system-wide daily_equiv than the per-station hourly file. For history before 2020, FTA's National Transit Database (NTD) publishes monthly unlinked-passenger-trips by agency/mode back to 2002 via the 'Monthly Module Adjusted Data Release' (https://www.transit.dot.gov/ntd/data-product/monthly-module-adjusted-data-release); MTA New York City Transit subway is reported there under NTD agency ID 20008."
new-york-service,new-york,,https://www.transit.dot.gov/ntd/data-product/ts21-service-data-and-operating-expenses-time-series-mode-2,webpage,,service,,,,,2026-08-26,service
new-york-punctuality,new-york,,https://metrics.mta.info/,webpage,,punctuality,,,,,2026-08-26,punctuality
singapore-ts,singapore,Land Transport Authority (LTA) DataMall,https://datamall.lta.gov.sg/content/datamall/en/search_datasets.html,api,monthly,ridership,station_entries,,,official,2026-08-26,"LTA DataMall publishes 'Passenger Volume by Train Stations' and 'Passenger Volume by Origin-Destination Train Stations' as monthly-updated tap-in/tap-out counts per station (weekday vs weekend split), via API (XML/JSON) requiring a free DataMall account/API key. Whether the live API exposes a full historical archive or only a rolling recent window was not confirmed this session. The annual figure above is instead derived from LTA's own published aggregate: SINGSTAT's 'Public Transport Operation And Ridership, Annual' dataset (data.gov.sg, sourced from LTA, covering 1990-2025) states average daily MRT ridership of 3,490 thousand for 2025 - the value above is that figure x 365, hence measure_def=estimated (no single published raw 'annual total trips' figure was located; LTA/SINGSTAT report ridership as average-daily-by-year, not as an annual sum). LTA also republishes this same average-daily series directly as PDFs: 'PT_Ridership_Yearly_2015-2024.pdf' (confirms 2024 MRT avg daily = 3,412 thousand, up from 2,871 thousand in 2015) and 'PT_Ridership_Monthly_2019-2025.pdf', both under lta.gov.sg/content/dam/ltagov/who_we_are/statistics_and_publications/statistics/pdf/."
london-ts,london,"Transport for London, via the London Datastore (Greater London Authority)",https://data.london.gov.uk/dataset/public-transport-journeys-type-transport/,open_csv,monthly,ridership,station_entries,2010,2026,official,2026-08-26,"Dataset 'Public Transport Journeys by Type of Transport' (CSV + XLSX) reports by TfL 4-weekly reporting period (~13 periods/year - true cadence is 4-weekly, not calendar-monthly; bucketed here as 'monthly'), covering April 2010 through July 2026 and still being updated, broken out by Bus/Underground/DLR/Tram/Overground/cable car. The headline annual figure (1,181m Underground 'journey stages', FY2023/24 = Apr 2023-Mar 2024, 88% of the pre-pandemic baseline) is instead from TfL's own 'Travel in London 2024' annual overview report, since a clean single 'latest full year' Underground total was not separately isolated from the periodic Datastore file this session. Total public transport across all modes was 3,571m journey stages in FY2023/24, up 9.4% from 3,263m in FY2022/23. Per this dataset's schema note, TfL's methodology for the Underground is based on gateline entry/exit data (station_entries)."
london-service,london,,https://data.london.gov.uk/dataset/london-underground-performance-reports-em8qy/,webpage,,service,,,,,2026-08-26,service
london-punctuality,london,,https://data.london.gov.uk/dataset/london-underground-performance-reports-em8qy/,webpage,,punctuality,,,,,2026-08-26,punctuality
mexico-city-ts,mexico-city,Portal de Datos Abiertos de la Ciudad de México (CDMX Open Data Portal) / STC Metro,https://datos.cdmx.gob.mx/dataset/afluencia-diaria-del-metro-cdmx,open_csv,daily,ridership,station_entries,2010,2025,official,2026-08-26,"CDMX's CKAN-based open-data portal hosts 'Afluencia diaria del Metro CDMX' with two resources found via search index: a 'Simple' version (https://datos.cdmx.gob.mx/dataset/afluencia-diaria-del-metro-cdmx/resource/0e8ffe58-28bb-4dde-afcd-e5f5b4de4ccb) and a 'Desglosada' (detailed, likely per-station/per-line) version (https://datos.cdmx.gob.mx/dataset/afluencia-diaria-del-metro-cdmx/resource/cce544e1-dc6b-42b4-bc27-0d8e6eb3ed72); the dataset title itself confirms daily granularity ('afluencia diaria' = daily affluence/entries). CAVEAT: every direct fetch attempt against this domain (dataset page, CKAN action API, OpenDataSoft 'explore' endpoint) was blocked by the portal's robots.txt this session, so exact coverage dates, column schema and confirmed file format could not be verified firsthand - access='open_csv' and coverage_start=2010 are inferred (CKAN 'resource' pages of this type are standardly downloadable tabular files) and corroborated by a third-party open-source analysis repo (https://github.com/JorgeMarquezPiedra/Afluencia-Metro-Ciudad-de-Mexico-2010-a-2025-Python) that states it uses 'datos oficiales del Portal de Datos Abiertos' spanning 2010-2025, but treat these two fields as approximate pending direct re-verification. STC Metro's own site (https://metro.cdmx.gob.mx/operacion/mas-informacion/afluencia-de-estacion-por-linea) - Wikipedia's cited source for an annual 2002-2023 ridership table - was also robots-blocked this session and may offer an alternative/complementary route to the same underlying data."
osaka-ts,osaka,"Japan Subway Association (一般社団法人日本地下鉄協会, JAMETRO)",https://www.jametro.or.jp/upload/data/ZwHlUxbGHRzr.pdf,pdf,annual,ridership,unlinked_trips,,2024,national_db,2026-08-26,"JAMETRO's annual '地下鉄事業の現況' (Current Status of Subway Operations) report - FY2024 (令和6年度) edition confirmed at this URL - aggregates ridership, route-km, rolling stock and other operating stats across every Japanese subway operator including Osaka Metro (section 3, 輸送人員等の推移/ridership trends), functioning as roughly Japan's counterpart to the US NTD. The exact Osaka Metro figure within this edition could not be extracted (PDF text was only partially readable via the fetch tool this session); how many years/editions JAMETRO archives online was not confirmed. Osaka Metro's own statistics pages (https://www.osakametro.co.jp/company/statistics/ and its line/station-level sub-page at .../research/100331_research.php) returned HTTP 403 on every fetch attempt this session despite clearly existing per search listings, and the FY2024/FY2025 kessan (financial results) press releases on subway.osakametro.co.jp discuss revenue/profit growth from higher ridership without stating the passenger-count figure itself. FY2023 (令和5年度) per-line average daily ridership was instead read from the Japanese Wikipedia infobox for 大阪市高速電気軌道 (Osaka Metro's operating company): Midosuji ~1,177k/day, Tanimachi ~494k, Yotsubashi ~247k, Chuo ~318k, Sennichimae ~192k, Sakaisuji ~319k, Nagahori-Tsurumi-ryokuchi ~172k, Imazatosuji ~66k, Nanko Port Town Line (New Tram) ~69k - summing to ~3.054M/day system-wide; the annual value above is that sum x 365, hence measure_def=estimated. The fetch tool's line-name transliteration was imprecise (e.g. rendered as 'Sakaishima'/'Imaike' rather than the correct Sakaisuji/Imazatosuji), so the underlying digits should be treated as indicative, not fully verified - this is the weakest-sourced figure in this batch alongside Cairo's. A separate Wikipedia (English) passage cited ~2.4-2.5 million passengers/day for 2024-2025 (Expo period), which does not fully reconcile with the ~3.05M/day FY2023 sum above; the discrepancy was not resolved this session."
nanjing-ts,nanjing,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"Same CAMET annual report series as other Chinese systems in this batch (see wuhan entry for PDF link/detail and the unit-parsing caution). CAMET's 2024 table gives Nanjing = 109,352.10万人次 = 10.935亿, matching the Nanjing Municipal Bureau of Statistics' own official bulletin almost exactly (confirmed via direct fetch: '全年地铁实现客运量10.96亿人次，比上年增长8.6%', i.e. +8.6% YoY) - the closest cross-validation found across all five Chinese cities in this batch, and used to help catch/verify the PDF unit-parsing error for the others. A third-party ridership dashboard exists (南京地铁客流分析, https://unqualified-developers.github.io/Nanjing-Metro/) claiming daily granularity across 14 lines/283 stations, but showed '暂无数据' (no data currently available) when checked this session. No standalone monthly official series confirmed."
changsha-ts,changsha,"China Association of Metros (中国城市轨道交通协会, CAMET)",https://www.camet.org.cn/xytj/tjxx/,webpage,annual,ridership,station_entries,2020,2025,national_db,2026-08-26,"Same CAMET annual report series as other Chinese systems in this batch (see zhengzhou entry for detail on the direct 2024-edition PDF and the unconfirmed-content 2025 edition). Changsha 2024 = 103163.29万人次 = 1,031,632,900 (over 1 billion). Magnitude cross-checked qualitatively against a Sohu ranking piece ('2025年地铁客流量15强城市') whose headline states Changsha's 2025 ridership rank is 'approaching Nanjing' (a system known to carry roughly 1.0-1.3bn/yr), consistent with this scale. No full-year 2025 total confirmed this session; found only single-line cumulative figures (Line 6: 4.72亿人次 since opening) and holiday/single-day records (National Day 2025 daily avg 316.3万人次; May Day 2025 single-day peak 392.2万人次)."
berlin-ts,berlin,BVG (Berliner Verkehrsbetriebe),https://www.bvg.de/dam/jcr:27ceb5b8-a738-400e-b288-0044d523d050/2025-05-05-bvg-in-zahlen-2024.pdf,pdf,annual,ridership,passenger_journeys,2023,2024,official,2026-08-26,"BVG's own annual 'BVG in Zahlen' fact-sheet PDF (this edition dated 2025-05-05, covering 31.12.2024; a prior edition exists as 'BVG-Zahlenspiegel-2023.pdf', https://www.bvg.de/dam/jcr:2f66007e-6743-40a7-a1d4-51707f282faa/BVG-Zahlenspiegel-2023.pdf, so this is a recurring annual series though only these two editions were located this session) gives 2024 ridership two ways: an aggregate 'UBF' (unternehmensbezogene Fahrgastfahrten, company-wide linked trips) of 1,109.7m, and a mode-level 'BBF' (betriebszweigbezogene Fahrgastfahrten) breakdown - U-Bahn 554.3m, Straßenbahn/tram 226.1m, Omnibus+ferry 459.2m (BBF figures sum higher than UBF since they double-count transfers between BVG's own modes). Neither BVG nor the regional VBB association publish a single combined 'U-Bahn + S-Bahn Berlin' figure (S-Bahn Berlin is a separate DB-owned operator). S-Bahn Berlin GmbH's own press release (https://sbahn.berlin/das-unternehmen/presse/pressemitteilungen-pressearchiv/pressemitteilungen/fast-eine-halbe-milliarde-menschen-fahren-mit-der-berliner-s-bahn/) states 456 million Fahrgäste in 2024, an actual (not modelled) count from onboard automatic passenger counters, down from an estimated 473m in 2023 and an actual 478m in 2018 (S-Bahn only runs full APC counts periodically - most recently 2024, 2018, 2012 - extrapolating between). The 'annual' value above (1,010.3m) is Claude's own sum of BVG's U-Bahn BBF figure (554.3m) + S-Bahn Berlin's own figure (456m), both for calendar 2024, hence measure_def=estimated at the combined level even though each input number is itself an official operator figure. For regional context, VBB (the whole Berlin-Brandenburg fare union, a much wider area than the city) reported 1.56bn total riders for both 2024 and 2025 on its own 'Zahlen und Fakten' page (https://unternehmen.vbb.de/der-vbb/zahlen-daten-fakten/vbb-kennzahlen/fahrgaeste/, an annual series back to 2000)."
berlin-revenue,berlin,,https://www.bvg.de/dam/jcr:f9b658f4-e2f6-4c3d-902c-59b45674b701/BVG-Lagebericht-Jahresabschluss-2025.pdf,webpage,,revenue,,,,,2026-08-26,revenue
